SampleNumber,value,Unit,Wday,Day,Month,Year,Hour,Date,DateTime
185,12.43,Gbps,Mon,15,8,2016,22:00:00,15/8/2016,8/15/2016 22:00
186,12.19,Gbps,Mon,15,8,2016,22:15:00,15/8/2016,8/15/2016 22:15
187,12.26,Gbps,Mon,15,8,2016,22:30:00,15/8/2016,8/15/2016 22:30
188,12.2,Gbps,Mon,15,8,2016,22:45:00,15/8/2016,8/15/2016 22:45
189,12.29,Gbps,Mon,15,8,2016,23:00:00,15/8/2016,8/15/2016 23:00
190,12.48,Gbps,Mon,15,8,2016,23:15:00,15/8/2016,8/15/2016 23:15
191,12.59,Gbps,Mon,15,8,2016,23:30:00,15/8/2016,8/15/2016 23:30
192,12.65,Gbps,Mon,15,8,2016,23:45:00,15/8/2016,8/15/2016 23:45
193,12.89,Gbps,Tue,16,8,2016,0:00:00,16/8/2016,8/16/2016 0:00
194,12.65,Gbps,Tue,16,8,2016,0:15:00,16/8/2016,8/16/2016 0:15
195,12.67,Gbps,Tue,16,8,2016,0:30:00,16/8/2016,8/16/2016 0:30
196,12.61,Gbps,Tue,16,8,2016,0:45:00,16/8/2016,8/16/2016 0:45
197,12.6,Gbps,Tue,16,8,2016,1:00:00,16/8/2016,8/16/2016 1:00
198,12.63,Gbps,Tue,16,8,2016,1:15:00,16/8/2016,8/16/2016 1:15
199,12.46,Gbps,Tue,16,8,2016,1:30:00,16/8/2016,8/16/2016 1:30
200,12.3,Gbps,Tue,16,8,2016,1:45:00,16/8/2016,8/16/2016 1:45
201,11.97,Gbps,Tue,16,8,2016,2:00:00,16/8/2016,8/16/2016 2:00
202,11.67,Gbps,Tue,16,8,2016,2:15:00,16/8/2016,8/16/2016 2:15
203,11.14,Gbps,Tue,16,8,2016,2:30:00,16/8/2016,8/16/2016 2:30
204,10.63,Gbps,Tue,16,8,2016,2:45:00,16/8/2016,8/16/2016 2:45
205,10.1,Gbps,Tue,16,8,2016,3:00:00,16/8/2016,8/16/2016 3:00
206,10.04,Gbps,Tue,16,8,2016,3:15:00,16/8/2016,8/16/2016 3:15
207,8.89,Gbps,Tue,16,8,2016,3:30:00,16/8/2016,8/16/2016 3:30
208,8.03,Gbps,Tue,16,8,2016,3:45:00,16/8/2016,8/16/2016 3:45
209,7.27,Gbps,Tue,16,8,2016,4:00:00,16/8/2016,8/16/2016 4:00
210,6.71,Gbps,Tue,16,8,2016,4:15:00,16/8/2016,8/16/2016 4:15
211,6.41,Gbps,Tue,16,8,2016,4:30:00,16/8/2016,8/16/2016 4:30
212,6.39,Gbps,Tue,16,8,2016,4:45:00,16/8/2016,8/16/2016 4:45
213,6.29,Gbps,Tue,16,8,2016,5:00:00,16/8/2016,8/16/2016 5:00
214,5.87,Gbps,Tue,16,8,2016,5:15:00,16/8/2016,8/16/2016 5:15
215,5.47,Gbps,Tue,16,8,2016,5:30:00,16/8/2016,8/16/2016 5:30
216,5.11,Gbps,Tue,16,8,2016,5:45:00,16/8/2016,8/16/2016 5:45
217,4.8,Gbps,Tue,16,8,2016,6:00:00,16/8/2016,8/16/2016 6:00
218,4.67,Gbps,Tue,16,8,2016,6:15:00,16/8/2016,8/16/2016 6:15
219,4.59,Gbps,Tue,16,8,2016,6:30:00,16/8/2016,8/16/2016 6:30
220,4.62,Gbps,Tue,16,8,2016,6:45:00,16/8/2016,8/16/2016 6:45
221,4.76,Gbps,Tue,16,8,2016,7:00:00,16/8/2016,8/16/2016 7:00
222,4.79,Gbps,Tue,16,8,2016,7:15:00,16/8/2016,8/16/2016 7:15
223,5.1,Gbps,Tue,16,8,2016,7:30:00,16/8/2016,8/16/2016 7:30
224,5.31,Gbps,Tue,16,8,2016,7:45:00,16/8/2016,8/16/2016 7:45
225,5.5,Gbps,Tue,16,8,2016,8:00:00,16/8/2016,8/16/2016 8:00
226,5.73,Gbps,Tue,16,8,2016,8:15:00,16/8/2016,8/16/2016 8:15
227,6.05,Gbps,Tue,16,8,2016,8:30:00,16/8/2016,8/16/2016 8:30
228,6.5,Gbps,Tue,16,8,2016,8:45:00,16/8/2016,8/16/2016 8:45
229,6.9,Gbps,Tue,16,8,2016,9:00:00,16/8/2016,8/16/2016 9:00
230,7.27,Gbps,Tue,16,8,2016,9:15:00,16/8/2016,8/16/2016 9:15
231,7.58,Gbps,Tue,16,8,2016,9:30:00,16/8/2016,8/16/2016 9:30
232,7.8,Gbps,Tue,16,8,2016,9:45:00,16/8/2016,8/16/2016 9:45
233,8.16,Gbps,Tue,16,8,2016,10:00:00,16/8/2016,8/16/2016 10:00
234,8.47,Gbps,Tue,16,8,2016,10:15:00,16/8/2016,8/16/2016 10:15
235,8.69,Gbps,Tue,16,8,2016,10:30:00,16/8/2016,8/16/2016 10:30
236,8.96,Gbps,Tue,16,8,2016,10:45:00,16/8/2016,8/16/2016 10:45
237,9.28,Gbps,Tue,16,8,2016,11:00:00,16/8/2016,8/16/2016 11:00
238,9.58,Gbps,Tue,16,8,2016,11:15:00,16/8/2016,8/16/2016 11:15
239,9.8,Gbps,Tue,16,8,2016,11:30:00,16/8/2016,8/16/2016 11:30
240,10.02,Gbps,Tue,16,8,2016,11:45:00,16/8/2016,8/16/2016 11:45
241,10.14,Gbps,Tue,16,8,2016,12:00:00,16/8/2016,8/16/2016 12:00
242,10.11,Gbps,Tue,16,8,2016,12:15:00,16/8/2016,8/16/2016 12:15
243,10.22,Gbps,Tue,16,8,2016,12:30:00,16/8/2016,8/16/2016 12:30
244,10.37,Gbps,Tue,16,8,2016,12:45:00,16/8/2016,8/16/2016 12:45
245,10.61,Gbps,Tue,16,8,2016,13:00:00,16/8/2016,8/16/2016 13:00
246,10.75,Gbps,Tue,16,8,2016,13:15:00,16/8/2016,8/16/2016 13:15
247,10.91,Gbps,Tue,16,8,2016,13:30:00,16/8/2016,8/16/2016 13:30
248,10.97,Gbps,Tue,16,8,2016,13:45:00,16/8/2016,8/16/2016 13:45
249,11.08,Gbps,Tue,16,8,2016,14:00:00,16/8/2016,8/16/2016 14:00
250,11.26,Gbps,Tue,16,8,2016,14:15:00,16/8/2016,8/16/2016 14:15
251,11.27,Gbps,Tue,16,8,2016,14:30:00,16/8/2016,8/16/2016 14:30
252,11.31,Gbps,Tue,16,8,2016,14:45:00,16/8/2016,8/16/2016 14:45
253,11.34,Gbps,Tue,16,8,2016,15:00:00,16/8/2016,8/16/2016 15:00
254,11.3,Gbps,Tue,16,8,2016,15:15:00,16/8/2016,8/16/2016 15:15
255,11.25,Gbps,Tue,16,8,2016,15:30:00,16/8/2016,8/16/2016 15:30
256,11.06,Gbps,Tue,16,8,2016,15:45:00,16/8/2016,8/16/2016 15:45
257,10.85,Gbps,Tue,16,8,2016,16:00:00,16/8/2016,8/16/2016 16:00
258,10.85,Gbps,Tue,16,8,2016,16:15:00,16/8/2016,8/16/2016 16:15
259,10.86,Gbps,Tue,16,8,2016,16:30:00,16/8/2016,8/16/2016 16:30
260,11.02,Gbps,Tue,16,8,2016,16:45:00,16/8/2016,8/16/2016 16:45
261,10.99,Gbps,Tue,16,8,2016,17:00:00,16/8/2016,8/16/2016 17:00
262,10.99,Gbps,Tue,16,8,2016,17:15:00,16/8/2016,8/16/2016 17:15
263,10.92,Gbps,Tue,16,8,2016,17:30:00,16/8/2016,8/16/2016 17:30
264,10.89,Gbps,Tue,16,8,2016,17:45:00,16/8/2016,8/16/2016 17:45
265,10.93,Gbps,Tue,16,8,2016,18:00:00,16/8/2016,8/16/2016 18:00
266,11,Gbps,Tue,16,8,2016,18:15:00,16/8/2016,8/16/2016 18:15
267,10.98,Gbps,Tue,16,8,2016,18:30:00,16/8/2016,8/16/2016 18:30
268,10.8,Gbps,Tue,16,8,2016,18:45:00,16/8/2016,8/16/2016 18:45
269,10.78,Gbps,Tue,16,8,2016,19:00:00,16/8/2016,8/16/2016 19:00
270,10.79,Gbps,Tue,16,8,2016,19:15:00,16/8/2016,8/16/2016 19:15
271,11.06,Gbps,Tue,16,8,2016,19:30:00,16/8/2016,8/16/2016 19:30
272,11.18,Gbps,Tue,16,8,2016,19:45:00,16/8/2016,8/16/2016 19:45
273,11.26,Gbps,Tue,16,8,2016,20:00:00,16/8/2016,8/16/2016 20:00
274,11.28,Gbps,Tue,16,8,2016,20:15:00,16/8/2016,8/16/2016 20:15
275,11.35,Gbps,Tue,16,8,2016,20:30:00,16/8/2016,8/16/2016 20:30
276,11.43,Gbps,Tue,16,8,2016,20:45:00,16/8/2016,8/16/2016 20:45
277,11.5,Gbps,Tue,16,8,2016,21:00:00,16/8/2016,8/16/2016 21:00
278,11.59,Gbps,Tue,16,8,2016,21:15:00,16/8/2016,8/16/2016 21:15
279,11.68,Gbps,Tue,16,8,2016,21:30:00,16/8/2016,8/16/2016 21:30
280,11.7,Gbps,Tue,16,8,2016,21:45:00,16/8/2016,8/16/2016 21:45
281,11.86,Gbps,Tue,16,8,2016,22:00:00,16/8/2016,8/16/2016 22:00
282,11.9,Gbps,Tue,16,8,2016,22:15:00,16/8/2016,8/16/2016 22:15
283,12.08,Gbps,Tue,16,8,2016,22:30:00,16/8/2016,8/16/2016 22:30
284,12.08,Gbps,Tue,16,8,2016,22:45:00,16/8/2016,8/16/2016 22:45
285,12.25,Gbps,Tue,16,8,2016,23:00:00,16/8/2016,8/16/2016 23:00
286,12.48,Gbps,Tue,16,8,2016,23:15:00,16/8/2016,8/16/2016 23:15
287,12.9,Gbps,Tue,16,8,2016,23:30:00,16/8/2016,8/16/2016 23:30
288,13.07,Gbps,Tue,16,8,2016,23:45:00,16/8/2016,8/16/2016 23:45
289,13.11,Gbps,Wed,17,8,2016,0:00:00,17/8/2016,8/17/2016 0:00
290,12.96,Gbps,Wed,17,8,2016,0:15:00,17/8/2016,8/17/2016 0:15
